fig	hash	detector	severity	detail
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'2' 40px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'(' 40px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'8' 40px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf02d' 36px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf03d' 36px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf02b' 36px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'x' 40px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'x' 40px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	')3' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'(5' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	')' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'2' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'(' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'4' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf02d' 81px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf03d' 81px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'\uf02b' 81px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'x' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q11_fig1.png	8371a06f	stranded-label	high	'x' 85px outside touching the figure image
rejonowy_2014-2015_malopolskie_q14_fig1.png	84692633	stranded-label	high	'okręgu.' 91px outside touching the figure image
rejonowy_2015-2016_malopolskie_q10_fig1.png	f46381c5	stranded-label	high	'str. 4' 93px outside touching the figure image
rejonowy_2015_podlaskie_gim_q13_fig1.png	1aa0a911	stranded-label	high	'π' 66px outside touching the figure image
rejonowy_2015_podlaskie_gim_q13_fig1.png	1aa0a911	stranded-label	high	'10  cm2' 61px outside touching the figure image
rejonowy_2016-2017_malopolskie_q3_fig1.png	0be188ec	stranded-label	high	'\uf0b0' 39px outside touching the figure image
rejonowy_2016-2017_malopolskie_q3_fig1.png	0be188ec	stranded-label	high	'70' 42px outside touching the figure image
rejonowy_2016-2017_malopolskie_q3_fig1.png	0be188ec	stranded-label	high	'\uf0b0' 39px outside touching the figure image
